timestamp,value,created_at
1665174190000,67,1665174197699
1665174070000,72,1665174078511
1665173950000,55,1665173958662
1665173830000,73,1665173838126
1665173710000,79,1665173717681
1665173590000,72,1665173597848
1665173470000,47,1665173478167
1665173350000,55,1665173358144
1665173230000,66,1665173238680
1665173110000,69,1665173118293
1665172990000,38,1665172998209
1665172870000,76,1665172878418
1665172749000,41,1665172758125
1665172629000,65,1665172638935
1665172509000,49,1665172518256
1665172389000,69,1665172398071
1665172269000,85,1665172278004
1665172149000,64,1665172158324
1665172029000,61,1665172037995
1665171909000,57,1665171918447
1665171789000,57,1665171797547
1665171669000,43,1665171677732
1665171549000,5,1665171557602
1665171429000,59,1665171438079
1665171309000,58,1665171317620
1665171189000,63,1665171198053
1665171069000,71,1665171077742
1665170949000,72,1665170958387
1665170829000,64,1665170838938
1665170709000,63,1665170723064
1665170589000,60,1665170598498
1665170469000,72,1665170478121
1665170349000,67,1665170358455
1665170229000,79,1665170238795
1665170109000,64,1665170118028
1665169989000,63,1665170000146
1665169869000,53,1665169878003
1665169749000,78,1665169757562
1665169629000,79,1665169637732
1665169509000,65,1665169517560
1665169389000,65,1665169397586
1665169269000,60,1665169277561
1665169149000,54,1665169157965
1665169029000,64,1665169037983
1665168909000,74,1665168918360
1665168789000,67,1665168797635
1665168669000,57,1665168678273
1665168549000,64,1665168557987
1665168429000,74,1665168438605
1665168309000,68,1665168318146
1665168189000,76,1665168198299
1665168069000,70,1665168078423
1665167949000,57,1665167958020
1665167829000,52,1665167838852
1665167709000,69,1665167717970
1665167589000,72,1665167597847
1665167469000,71,1665167478265
1665167349000,57,1665167358177
1665167229000,66,1665167238504
1665167109000,71,1665167118298
1665166989000,62,1665166998338
1665166869000,71,1665166878195
1665166749000,65,1665166758089
1665166629000,70,1665166638081
1665166509000,75,1665166517194
1665166389000,57,1665166397622
1665166269000,69,1665166278247
1665166149000,65,1665166157404
1665166029000,49,1665166039826
1665165909000,46,1665165918196
1665165789000,65,1665165797364
1665165669000,60,1665165677321
1665165549000,77,1665165557423
1665165429000,63,1665165438247
1665165309000,64,1665165317303
1665165189000,81,1665165197469
1665165069000,82,1665165077392
1665164949000,47,1665164958283
1665164829000,44,1665164841862
1665164709000,58,1665164717906
1665164589000,60,1665164598127
1665164469000,56,1665164477623
1665164349000,54,1665164357901
1665164229000,63,1665164238790
1665164109000,63,1665164117940
1665163989000,58,1665163998916
1665163869000,62,1665163878022
1665163749000,51,1665163757796
1665163629000,48,1665163638502
1665163509000,59,1665163517934
1665163389000,58,1665163397872
1665163269000,57,1665163277863
1665163149000,51,1665163158015
1665163029000,66,1665163038667
1665162909000,76,1665162919116
1665162789000,70,1665162798096
1665162669000,57,1665162678260
1665162549000,65,1665162557273
1665162429000,65,1665162438739
1665162309000,54,1665162318269
1665162189000,72,1665162198194
1665162069000,46,1665162078036
1665161949000,53,1665161957268
1665161829000,60,1665161838504
1665161709000,36,1665161717187
1665161589000,2,1665161598000
1665161469000,6,1665161477868
1665161349000,39,1665161357779
1665161229000,56,1665161238688
1665161109000,56,1665161117420
1665160989000,57,1665160997350
1665160869000,58,1665160877447
1665160749000,38,1665160757441
1665160629000,7,1665160637810
1665160509000,56,1665160517911
1665160389000,68,1665160398145
1665160269000,66,1665160278178
1665160149000,48,1665160157921
1665160029000,55,1665160038210
1665159909000,41,1665159918125
1665159789000,62,1665159797771
1665159669000,66,1665159677492
1665159549000,75,1665159557408
1665159429000,67,1665159437706
1665159309000,60,1665159317309
1665159189000,49,1665159197680
1665159069000,71,1665159077360
1665158949000,71,1665158957245
1665158829000,51,1665158837579
1665158709000,59,1665158717635
1665158589000,53,1665158597691
1665158469000,61,1665158477565
1665158349000,59,1665158357839
1665158229000,71,1665158237868
1665158109000,70,1665158117281
1665157989000,52,1665157997766
1665157869000,87,1665157877382
1665157749000,53,1665157757246
1665157629000,51,1665157637766
1665157509000,48,1665157517360
1665157389000,43,1665157397181
1665157269000,74,1665157285412
1665157149000,80,1665157157397
1665157029000,64,1665157037614
1665156909000,74,1665156917593
1665156789000,47,1665156797348
1665156669000,58,1665156677815
1665156549000,36,1665156557260
1665156429000,50,1665156438098
1665156309000,46,1665156317197
1665156189000,61,1665156197391
1665156069000,5,1665156077284
1665155949000,7,1665155957064
1665155829000,77,1665155837603
1665155709000,54,1665155717000
1665155589000,60,1665155597191
1665155469000,66,1665155477744
1665155349000,63,1665155357343
1665155229000,27,1665155237515
1665155109000,45,1665155117056
1665154989000,53,1665154997027
1665154869000,57,1665154877117
1665154749000,50,1665154757047
1665154629000,66,1665154637118
1665154509000,75,1665154517896
1665154389000,57,1665154396997
1665154269000,51,1665154277584
1665154149000,68,1665154158298
1665154029000,85,1665154037723
1665153909000,48,1665153920149
1665153789000,64,1665153797051
1665153669000,64,1665153677106
1665153549000,65,1665153559122
1665153429000,73,1665153440303
1665153308000,68,1665153317532
1665153188000,68,1665153197757
1665153068000,55,1665153077157
1665152948000,67,1665152957436
1665152828000,78,1665152838033
1665152708000,75,1665152717940
1665152588000,55,1665152597926
1665152468000,62,1665152477697
1665152348000,57,1665152357511
1665152228000,51,1665152238015
1665152108000,61,1665152117448
1665151988000,66,1665151997692
1665151868000,62,1665151878799
1665151748000,49,1665151757665
1665151628000,54,1665151637889
1665151508000,56,1665151517661
1665151388000,47,1665151397644
1665151268000,53,1665151277349
1665151148000,65,1665151157647
1665151028000,68,1665151038236
1665150908000,47,1665150917264
1665150788000,70,1665150797623
1665150668000,55,1665150677486
1665150548000,51,1665150557365
1665150428000,68,1665150438122
1665150308000,59,1665150317316
1665150188000,57,1665150197716
1665150068000,47,1665150077635
1665149948000,52,1665149957351
