timestamp,value,created_at
1665174190000,19.41,1665174197699
1665174070000,19.41,1665174078511
1665173950000,19.39,1665173958662
1665173830000,19.39,1665173838126
1665173710000,19.36,1665173717681
1665173590000,19.36,1665173597848
1665173470000,19.35,1665173478167
1665173350000,19.34,1665173358144
1665173230000,19.34,1665173238680
1665173110000,19.34,1665173118293
1665172990000,19.32,1665172998209
1665172870000,19.31,1665172878418
1665172749000,19.29,1665172758125
1665172629000,19.29,1665172638935
1665172509000,19.29,1665172519750
1665172389000,19.28,1665172398071
1665172269000,19.28,1665172279357
1665172149000,19.27,1665172158324
1665172029000,19.25,1665172037995
1665171909000,19.25,1665171918447
1665171789000,19.24,1665171797547
1665171669000,19.24,1665171677732
1665171549000,19.22,1665171557602
1665171429000,19.22,1665171438079
1665171309000,19.21,1665171317620
1665171189000,19.2,1665171198053
1665171069000,19.2,1665171077742
1665170949000,19.18,1665170958387
1665170829000,19.18,1665170838938
1665170709000,19.17,1665170724660
1665170589000,19.17,1665170598498
1665170469000,19.17,1665170478121
1665170349000,19.17,1665170358455
1665170229000,19.17,1665170238795
1665170109000,19.14,1665170118028
1665169989000,19.14,1665170000146
1665169869000,19.14,1665169878003
1665169749000,19.13,1665169757562
1665169629000,19.13,1665169637732
1665169509000,19.13,1665169517560
1665169389000,19.13,1665169397586
1665169269000,19.11,1665169277561
1665169149000,19.1,1665169159301
1665169029000,19.11,1665169037983
1665168909000,19.11,1665168918360
1665168789000,19.1,1665168797635
1665168669000,19.08,1665168678273
1665168549000,19.08,1665168557987
1665168429000,19.08,1665168438605
1665168309000,19.08,1665168319621
1665168189000,19.08,1665168198299
1665168069000,19.08,1665168078423
1665167949000,19.08,1665167958020
1665167829000,19.08,1665167838852
1665167709000,19.08,1665167717970
1665167589000,19.08,1665167597847
1665167469000,19.08,1665167478265
1665167229000,19.08,1665167238504
1665167109000,19.08,1665167118298
1665166989000,19.08,1665166998338
1665166869000,19.08,1665166878195
1665166749000,19.1,1665166758089
1665166629000,19.1,1665166638081
1665166389000,19.1,1665166397622
1665166269000,19.1,1665166278247
1665166149000,19.11,1665166157404
1665166029000,19.13,1665166039826
1665165909000,19.13,1665165918196
1665165789000,19.14,1665165797364
1665165549000,19.15,1665165557423
1665165429000,19.15,1665165438247
1665165309000,19.15,1665165318641
1665165189000,19.18,1665165197469
1665165069000,19.18,1665165077392
1665164949000,19.18,1665164958283
1665164829000,19.2,1665164841862
1665164709000,19.2,1665164717906
1665164589000,19.2,1665164598127
1665164469000,19.21,1665164477623
1665164349000,19.24,1665164357901
1665164229000,19.24,1665164238790
1665164109000,19.25,1665164117940
1665163989000,19.25,1665163998916
1665163869000,19.28,1665163879508
1665163749000,19.28,1665163759146
1665163629000,19.28,1665163638502
1665163509000,19.29,1665163517934
1665163389000,19.29,1665163397872
1665163269000,19.28,1665163277863
1665163149000,19.28,1665163158015
1665163029000,19.28,1665163038667
1665162909000,19.28,1665162919116
1665162789000,19.29,1665162798096
1665162549000,19.29,1665162557273
1665162429000,19.29,1665162438739
1665162309000,19.28,1665162318269
1665162189000,19.28,1665162198194
1665162069000,19.28,1665162078036
1665161949000,19.28,1665161957268
1665161709000,19.25,1665161717187
1665161589000,19.25,1665161598000
1665161469000,19.25,1665161477868
1665161349000,19.24,1665161357779
1665161229000,19.24,1665161238688
1665161109000,19.24,1665161117420
1665160989000,19.22,1665160997350
1665160869000,19.22,1665160877447
1665160749000,19.2,1665160758782
1665160509000,19.18,1665160517911
1665160389000,19.18,1665160398145
1665160269000,19.18,1665160278178
1665160149000,19.17,1665160157921
1665160029000,19.17,1665160038210
1665159909000,19.14,1665159918125
1665159669000,19.13,1665159677492
1665159549000,19.13,1665159557408
1665159429000,19.11,1665159437706
1665159309000,19.11,1665159317309
1665159189000,19.11,1665159197680
1665159069000,19.08,1665159077360
1665158829000,19.07,1665158838911
1665158709000,19.05,1665158717635
1665158589000,19.05,1665158597691
1665158469000,19.05,1665158477565
1665158349000,19.03,1665158357839
1665158229000,19.01,1665158237868
1665158109000,19.01,1665158117281
1665157989000,19,1665157999242
1665157869000,18.98,1665157877382
1665157749000,18.97,1665157757246
1665157629000,18.97,1665157637766
1665157509000,18.96,1665157517360
1665157389000,18.96,1665157398523
1665157269000,18.94,1665157285412
1665157149000,18.91,1665157157397
1665156909000,18.9,1665156917593
1665156789000,18.9,1665156797348
1665156669000,18.87,1665156677815
1665156549000,18.87,1665156557260
1665156429000,18.86,1665156438098
1665156309000,18.86,1665156317197
1665156189000,18.84,1665156197391
1665156069000,18.84,1665156077284
1665155829000,18.81,1665155837603
1665155709000,18.81,1665155717000
1665155589000,18.81,1665155597191
1665155469000,18.8,1665155477744
1665155349000,18.8,1665155357343
1665155229000,18.8,1665155237515
1665154989000,18.77,1665154997027
1665154869000,18.76,1665154877117
1665154749000,18.75,1665154757047
1665154629000,18.75,1665154637118
1665154509000,18.75,1665154517896
1665154389000,18.73,1665154396997
1665154269000,18.73,1665154277584
1665154029000,18.7,1665154037723
1665153909000,18.7,1665153921596
1665153789000,18.69,1665153797051
1665153669000,18.67,1665153677106
1665153549000,18.67,1665153559122
1665153429000,18.66,1665153440303
1665153308000,18.65,1665153317532
1665153188000,18.65,1665153197757
1665153068000,18.63,1665153077157
1665152828000,18.62,1665152838033
1665152708000,18.6,1665152717940
1665152588000,18.59,1665152597926
1665152468000,18.58,1665152477697
1665152348000,18.58,1665152357511
1665152228000,18.56,1665152238015
1665151988000,18.55,1665151997692
1665151868000,18.53,1665151878799
1665151748000,18.53,1665151757665
1665151628000,18.53,1665151637889
1665151508000,18.51,1665151517661
1665151388000,18.51,1665151397644
1665151148000,18.48,1665151157647
1665151028000,18.48,1665151038236
1665150908000,18.46,1665150917264
1665150788000,18.46,1665150797623
1665150668000,18.45,1665150677486
1665150548000,18.44,1665150557365
1665150428000,18.42,1665150438122
1665150188000,18.41,1665150197716
1665150068000,18.39,1665150077635
1665149948000,18.38,1665149957351
